subject,sequence,visible_stress_region,method,radius_mm,steps,total_trainable_parameters,active_position_parameters,supported_psnr,unsupported_psnr,head_psnr,unsupported_geometry_mm,supported_geometry_mm,final_loss
388,GLASSES,glasses_hair_beard,hard,0.0,4000,50230,0,29.052526238283825,15.863878519712086,20.400783544063717,40.87657447557495,3.906856624486399,0.061186037957668304
388,GLASSES,glasses_hair_beard,200mm,200.0,4000,50230,15069,38.53973932051863,31.77299301793337,35.007256420518594,7.174099607334046,4.758712501287145,0.01076470222324133
388,GLASSES,glasses_hair_beard,free,-1.0,4000,50230,15069,38.38303646863955,32.26987257741989,35.29863995397452,7.604235557150614,4.75148641549211,0.010625910013914108
422,EXP-2-eyes,eyes,hard,0.0,4000,50230,0,28.14561440133436,16.164863378665842,19.995866369039238,46.33255347320691,3.9099783319619545,0.06773148477077484
422,EXP-2-eyes,eyes,200mm,200.0,4000,50230,15069,39.10096576703943,29.81025557828108,33.289291825076475,6.566010811378736,4.2658958234086874,0.01358841173350811
422,EXP-2-eyes,eyes,free,-1.0,4000,50230,15069,39.103303438683454,29.964684293073926,33.40096113327235,6.504681345810957,4.264984620398968,0.01345906313508749
443,FREE,free_motion_static_frame,hard,0.0,4000,50230,0,26.42559701389982,14.997396234269434,19.339098711548754,29.00481217129205,3.5484620879704893,0.06442610919475555
443,FREE,free_motion_static_frame,200mm,200.0,4000,50230,15069,38.78847849904498,32.97161066399333,35.68435126274069,7.855736741299845,4.110059901506249,0.010412776842713356
443,FREE,free_motion_static_frame,free,-1.0,4000,50230,15069,38.88046655752399,33.139342645057035,35.81999949362781,7.130770196807237,4.250949156212455,0.010358689352869987
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,hard,0.0,4000,50230,0,23.46960470630522,12.342267141935732,16.044083469419995,42.7412661390094,3.3813559132514257,0.09380968660116196
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,200mm,200.0,4000,50230,15069,39.13560033969979,34.320270895051735,36.53252504601265,10.241360775945736,5.088497305744666,0.009028289467096329
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,free,-1.0,4000,50230,15069,39.53872300327673,34.093852773835216,36.62784743831972,10.397403378910985,4.938201857566597,0.008996931836009026
475,HAIR,hair,hard,0.0,4000,50230,0,27.24521001147661,16.647877945446965,20.77310186577915,32.03240913720991,3.3764697714410086,0.05474087595939636
475,HAIR,hair,200mm,200.0,4000,50230,15069,38.0501173135307,32.99975756106994,35.50633061021106,6.86860086885235,3.4450145845562252,0.010050013661384583
475,HAIR,hair,free,-1.0,4000,50230,15069,37.99324817966676,33.529609410928686,35.7217510987259,6.583106772771901,3.4783959224875325,0.009993920102715492
