advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,seed_aggregation,seed_count
-0.024086658794877973,-0.013036115340414248,-0.03538952597265835,adaptive,0.2,20,lpips_alex_spatial,8,1,background,paired effect averaged within identity across seeds,3
-0.03313281599220098,-0.021444657793537953,-0.04497754589048062,released,0.15,20,lpips_alex_spatial,8,1,background,paired effect averaged within identity across seeds,3
-0.00305598276181934,0.003617498098013487,-0.010374050576736397,adaptive,0.55,20,lpips_alex_spatial,8,1,eyes,paired effect averaged within identity across seeds,3
-0.018493448943660278,-0.011206950747885122,-0.026372625109632918,released,0.2,20,lpips_alex_spatial,8,1,eyes,paired effect averaged within identity across seeds,3
-0.03192402913018553,-0.02050358344696444,-0.043793396536909876,adaptive,0.2,20,lpips_alex_spatial,8,1,flame_supported,paired effect averaged within identity across seeds,3
-0.05607038906047938,-0.04399906578221798,-0.06768608012138862,released,0.0,20,lpips_alex_spatial,8,1,flame_supported,paired effect averaged within identity across seeds,3
0.035684776115009184,0.06714164540599034,0.002810883938955399,adaptive,0.75,20,lpips_alex_spatial,8,1,flame_unsupported,paired effect averaged within identity across seeds,3
-0.0038524397707378477,0.025240559991864177,-0.035380701672458596,released,0.5,20,lpips_alex_spatial,8,1,flame_unsupported,paired effect averaged within identity across seeds,3
-0.00976863718250372,0.00814282685258077,-0.026557887358334167,adaptive,0.35,20,lpips_alex_spatial,8,1,foreground,paired effect averaged within identity across seeds,3
-0.038437851159711975,-0.021854528445353346,-0.05499363222138341,released,0.15,20,lpips_alex_spatial,8,1,foreground,paired effect averaged within identity across seeds,3
-0.015931994780833573,-0.002561161072674753,-0.029099572214471292,adaptive,0.25,20,lpips_alex_spatial,8,1,full_frame,paired effect averaged within identity across seeds,3
-0.035817409451905785,-0.02243365966493177,-0.049221245821936314,released,0.15,20,lpips_alex_spatial,8,1,full_frame,paired effect averaged within identity across seeds,3
-0.027448980239710662,-0.01684018682677013,-0.03828074254610886,adaptive,0.1,20,lpips_alex_spatial,8,1,oral,paired effect averaged within identity across seeds,3
-0.04328698441423653,-0.033961530031163145,-0.05246878241726897,released,0.0,20,lpips_alex_spatial,8,1,oral,paired effect averaged within identity across seeds,3
-0.021820268226330854,-0.008764160374233375,-0.035395356447929065,adaptive,0.2,20,lpips_alex_spatial,8,4,background,paired effect averaged within identity across seeds,3
-0.028014712022944654,-0.015016210101000866,-0.04182938167182111,released,0.25,20,lpips_alex_spatial,8,4,background,paired effect averaged within identity across seeds,3
-0.0047379528540372525,0.002698146447444693,-0.013568587775980953,adaptive,0.45,20,lpips_alex_spatial,8,4,eyes,paired effect averaged within identity across seeds,3
-0.014829117519262455,-0.006364037288358239,-0.02438969421876786,released,0.2,20,lpips_alex_spatial,8,4,eyes,paired effect averaged within identity across seeds,3
-0.03447724515526305,-0.02065477297633316,-0.04860709479401598,adaptive,0.2,20,lpips_alex_spatial,8,4,flame_supported,paired effect averaged within identity across seeds,3
-0.05348298587447513,-0.039926531184234185,-0.0671135424735843,released,0.1,20,lpips_alex_spatial,8,4,flame_supported,paired effect averaged within identity across seeds,3
0.03496902013716567,0.06337071303459875,0.0007956360290937211,adaptive,0.8,20,lpips_alex_spatial,8,4,flame_unsupported,paired effect averaged within identity across seeds,3
0.0005344464009796601,0.027571024166309577,-0.03069526498393932,released,0.6,20,lpips_alex_spatial,8,4,flame_unsupported,paired effect averaged within identity across seeds,3
-0.012794948627640778,0.004358015687549358,-0.032241896534637236,adaptive,0.4,20,lpips_alex_spatial,8,4,foreground,paired effect averaged within identity across seeds,3
-0.03627700309637917,-0.01891285509183726,-0.054114961472851976,released,0.2,20,lpips_alex_spatial,8,4,foreground,paired effect averaged within identity across seeds,3
-0.016576598137206616,-0.0026548590377671083,-0.0327336224601617,adaptive,0.35,20,lpips_alex_spatial,8,4,full_frame,paired effect averaged within identity across seeds,3
-0.032423654288956626,-0.01830756481028788,-0.047430037069583396,released,0.2,20,lpips_alex_spatial,8,4,full_frame,paired effect averaged within identity across seeds,3
-0.03198793394638117,-0.019599074451226547,-0.04430229993911439,adaptive,0.15,20,lpips_alex_spatial,8,4,oral,paired effect averaged within identity across seeds,3
-0.04238454016486455,-0.030405740799337,-0.05450745031133128,released,0.05,20,lpips_alex_spatial,8,4,oral,paired effect averaged within identity across seeds,3
-0.02075156441485413,-0.007479539237916285,-0.03440879417333705,adaptive,0.3,20,lpips_alex_spatial,8,8,background,paired effect averaged within identity across seeds,3
-0.024456795615890554,-0.012421345751475979,-0.038229347180390685,released,0.2,20,lpips_alex_spatial,8,8,background,paired effect averaged within identity across seeds,3
-0.002697123846149134,0.005295507733028981,-0.010846722903311987,adaptive,0.5,20,lpips_alex_spatial,8,8,eyes,paired effect averaged within identity across seeds,3
-0.010712904987903001,-0.002388315178612109,-0.019544917414591953,released,0.4,20,lpips_alex_spatial,8,8,eyes,paired effect averaged within identity across seeds,3
-0.032657957257837524,-0.018585941552961362,-0.04735627480993198,adaptive,0.2,20,lpips_alex_spatial,8,8,flame_supported,paired effect averaged within identity across seeds,3
-0.05026169485724332,-0.03760285347642742,-0.06288994344159235,released,0.1,20,lpips_alex_spatial,8,8,flame_supported,paired effect averaged within identity across seeds,3
0.038443350315235936,0.06533810888802842,0.007556783061999815,adaptive,0.8,20,lpips_alex_spatial,8,8,flame_unsupported,paired effect averaged within identity across seeds,3
0.005710967354956453,0.03181375782546718,-0.022985187057559045,released,0.65,20,lpips_alex_spatial,8,8,flame_unsupported,paired effect averaged within identity across seeds,3
-0.010150788222173435,0.006375068143985429,-0.028430213237412162,adaptive,0.45,20,lpips_alex_spatial,8,8,foreground,paired effect averaged within identity across seeds,3
-0.0321323703836225,-0.016091872457719508,-0.04931314450998595,released,0.2,20,lpips_alex_spatial,8,8,foreground,paired effect averaged within identity across seeds,3
-0.014679767662312576,-0.0005850725772577088,-0.030607437568825568,adaptive,0.4,20,lpips_alex_spatial,8,8,full_frame,paired effect averaged within identity across seeds,3
-0.028416542728225906,-0.014561023058700372,-0.043428214209807386,released,0.2,20,lpips_alex_spatial,8,8,full_frame,paired effect averaged within identity across seeds,3
-0.028763870554452804,-0.01596097078793549,-0.04155889915256795,adaptive,0.15,20,lpips_alex_spatial,8,8,oral,paired effect averaged within identity across seeds,3
-0.039269846551159684,-0.02779409159909563,-0.050863993527653105,released,0.05,20,lpips_alex_spatial,8,8,oral,paired effect averaged within identity across seeds,3
-0.020104732160975896,-0.010664205457883737,-0.030090803115435,adaptive,0.15,20,lpips_alex_spatial,32,1,background,paired effect averaged within identity across seeds,3
-0.027321175934701448,-0.017092786953643573,-0.03754650689588148,released,0.1,20,lpips_alex_spatial,32,1,background,paired effect averaged within identity across seeds,3
-0.011647452417876666,-0.0018078038902528163,-0.021137030849691395,adaptive,0.2,20,lpips_alex_spatial,32,1,eyes,paired effect averaged within identity across seeds,3
-0.021416195769083535,-0.009374997117609953,-0.03415566027568204,released,0.25,20,lpips_alex_spatial,32,1,eyes,paired effect averaged within identity across seeds,3
-0.06202725015019158,-0.05003691041026058,-0.07432104740434242,adaptive,0.0,20,lpips_alex_spatial,32,1,flame_supported,paired effect averaged within identity across seeds,3
-0.06518747397678315,-0.05238734876752188,-0.07867660765306164,released,0.0,20,lpips_alex_spatial,32,1,flame_supported,paired effect averaged within identity across seeds,3
0.026293042704797202,0.05701694068399327,-0.0070433923190716275,adaptive,0.7,20,lpips_alex_spatial,32,1,flame_unsupported,paired effect averaged within identity across seeds,3
0.029833574849217857,0.05981993986635229,-0.003783826095899564,released,0.7,20,lpips_alex_spatial,32,1,flame_unsupported,paired effect averaged within identity across seeds,3
-0.03343386085203885,-0.016445672217006047,-0.05110464317980891,adaptive,0.25,20,lpips_alex_spatial,32,1,foreground,paired effect averaged within identity across seeds,3
-0.03445751102117507,-0.0170272272192496,-0.0514272769335353,released,0.2,20,lpips_alex_spatial,32,1,foreground,paired effect averaged within identity across seeds,3
-0.026722919811934122,-0.014342206998433908,-0.040205614165890795,adaptive,0.1,20,lpips_alex_spatial,32,1,full_frame,paired effect averaged within identity across seeds,3
-0.030551402225638867,-0.018459889379801676,-0.04370363468247833,released,0.1,20,lpips_alex_spatial,32,1,full_frame,paired effect averaged within identity across seeds,3
-0.05467516501732752,-0.03984567007198244,-0.06903899872589882,adaptive,0.05,20,lpips_alex_spatial,32,1,oral,paired effect averaged within identity across seeds,3
-0.05266020143960372,-0.039011157613387755,-0.06573602074779218,released,0.05,20,lpips_alex_spatial,32,1,oral,paired effect averaged within identity across seeds,3
-0.01811887900310266,-0.009062225067552252,-0.027980883107638705,adaptive,0.25,20,lpips_alex_spatial,32,4,background,paired effect averaged within identity across seeds,3
-0.027162757003694672,-0.015990433175615285,-0.039462002962991814,released,0.15,20,lpips_alex_spatial,32,4,background,paired effect averaged within identity across seeds,3
-0.01168848601658243,-0.0013278148188240273,-0.02201444035068115,adaptive,0.2,20,lpips_alex_spatial,32,4,eyes,paired effect averaged within identity across seeds,3
-0.021402874163570583,-0.009448506635545842,-0.03425507957962057,released,0.25,20,lpips_alex_spatial,32,4,eyes,paired effect averaged within identity across seeds,3
-0.061797317820987976,-0.05037921704398404,-0.07463195210944015,adaptive,0.0,20,lpips_alex_spatial,32,4,flame_supported,paired effect averaged within identity across seeds,3
-0.06911241000995604,-0.05490650608356456,-0.0841571688570013,released,0.0,20,lpips_alex_spatial,32,4,flame_supported,paired effect averaged within identity across seeds,3
0.027020211581145724,0.05527856712207112,-0.001857615666263089,adaptive,0.65,20,lpips_alex_spatial,32,4,flame_unsupported,paired effect averaged within identity across seeds,3
0.024134214035422145,0.05461693715702886,-0.0077139362230464435,released,0.7,20,lpips_alex_spatial,32,4,flame_unsupported,paired effect averaged within identity across seeds,3
-0.0335818938012463,-0.01741441880387878,-0.04984931598564218,adaptive,0.2,20,lpips_alex_spatial,32,4,foreground,paired effect averaged within identity across seeds,3
-0.03964293635024181,-0.021260069852111062,-0.058938680362958455,released,0.2,20,lpips_alex_spatial,32,4,foreground,paired effect averaged within identity across seeds,3
-0.026095033135295893,-0.013786587620733858,-0.038958571046262394,adaptive,0.15,20,lpips_alex_spatial,32,4,full_frame,paired effect averaged within identity across seeds,3
-0.03337399778944073,-0.019286438941791363,-0.04817129821652551,released,0.2,20,lpips_alex_spatial,32,4,full_frame,paired effect averaged within identity across seeds,3
