advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,seed_aggregation,seed_count
0.053494291785280534,0.7088654695641861,-0.64618860376282,adaptive,0.55,20,masked_psnr,8,1,head_foreground,paired effect averaged within identity across seeds,3
-0.09816495572078132,0.3946109091945297,-0.6288590740810871,released,0.5,20,masked_psnr,8,1,head_foreground,paired effect averaged within identity across seeds,3
-2.164464863017441,-1.5834466596674466,-2.810774256397496,adaptive,0.05,20,masked_psnr,8,1,head_supported,paired effect averaged within identity across seeds,3
-2.1080508270887535,-1.6667547325604033,-2.6087854861807904,released,0.0,20,masked_psnr,8,1,head_supported,paired effect averaged within identity across seeds,3
1.9312685998897674,3.1025033618582114,0.883960060503008,adaptive,0.85,20,masked_psnr,8,1,head_unsupported,paired effect averaged within identity across seeds,3
1.5417584525710368,2.3151879741168035,0.8254860932262831,released,0.85,20,masked_psnr,8,1,head_unsupported,paired effect averaged within identity across seeds,3
2.822367560037268,4.020134374431117,1.5110079954953453,adaptive,0.85,20,masked_psnr,8,1,torso_outside_head_roi,paired effect averaged within identity across seeds,3
2.5887322718666956,3.723634935164019,1.3967804824675925,released,0.85,20,masked_psnr,8,1,torso_outside_head_roi,paired effect averaged within identity across seeds,3
-0.13013835878456356,0.4540756938786219,-0.7434455218952492,adaptive,0.6,20,masked_psnr,8,4,head_foreground,paired effect averaged within identity across seeds,3
-0.09476617743974902,0.42201738939073985,-0.6333485679070587,released,0.5,20,masked_psnr,8,4,head_foreground,paired effect averaged within identity across seeds,3
-2.448097285642042,-1.826484455039855,-3.173445884573163,adaptive,0.0,20,masked_psnr,8,4,head_supported,paired effect averaged within identity across seeds,3
-2.372035984054353,-1.8445652184336554,-2.974659598072728,released,0.0,20,masked_psnr,8,4,head_supported,paired effect averaged within identity across seeds,3
1.5759114819618598,2.6285024562358617,0.7311567602467213,adaptive,0.85,20,masked_psnr,8,4,head_unsupported,paired effect averaged within identity across seeds,3
1.5102483513172527,2.2295449672726377,0.8423571211019101,released,0.85,20,masked_psnr,8,4,head_unsupported,paired effect averaged within identity across seeds,3
3.023294426316141,4.03107334390238,1.9839736140349133,adaptive,0.9,20,masked_psnr,8,4,torso_outside_head_roi,paired effect averaged within identity across seeds,3
2.8926181667572313,3.7541488979155018,2.015006811893419,released,0.95,20,masked_psnr,8,4,torso_outside_head_roi,paired effect averaged within identity across seeds,3
-0.21707412933236342,0.3465658009086928,-0.8057046131848762,adaptive,0.5,20,masked_psnr,8,8,head_foreground,paired effect averaged within identity across seeds,3
-0.12308298289393767,0.37353046056900663,-0.6390450460256923,released,0.6,20,masked_psnr,8,8,head_foreground,paired effect averaged within identity across seeds,3
-2.6356975947216745,-2.0070914529217965,-3.327363219809786,adaptive,0.0,20,masked_psnr,8,8,head_supported,paired effect averaged within identity across seeds,3
-2.4959026747299533,-1.9650652882797743,-3.0759868987750374,released,0.0,20,masked_psnr,8,8,head_supported,paired effect averaged within identity across seeds,3
1.5081774625157056,2.4954652942907085,0.7014724530500226,adaptive,0.85,20,masked_psnr,8,8,head_unsupported,paired effect averaged within identity across seeds,3
1.4880640043062674,2.1957326452558443,0.8376389473334672,released,0.9,20,masked_psnr,8,8,head_unsupported,paired effect averaged within identity across seeds,3
3.0270029999384094,4.01482665594063,2.0032258780685344,adaptive,0.9,20,masked_psnr,8,8,torso_outside_head_roi,paired effect averaged within identity across seeds,3
3.072363492300958,3.973599505242894,2.1371059808929513,released,0.95,20,masked_psnr,8,8,torso_outside_head_roi,paired effect averaged within identity across seeds,3
1.6727800263123764,2.6342664746575837,0.7246129912115095,adaptive,0.75,20,masked_psnr,32,1,head_foreground,paired effect averaged within identity across seeds,3
1.703759268138382,2.6307688235228497,0.7989207420333805,released,0.8,20,masked_psnr,32,1,head_foreground,paired effect averaged within identity across seeds,3
-1.245081907673662,-0.8029781152481924,-1.7176788030982153,adaptive,0.05,20,masked_psnr,32,1,head_supported,paired effect averaged within identity across seeds,3
-1.2336073898938815,-0.8214808418772594,-1.6745271086488522,released,0.05,20,masked_psnr,32,1,head_supported,paired effect averaged within identity across seeds,3
4.36151735964525,5.815526267692352,2.8651208358968723,adaptive,0.85,20,masked_psnr,32,1,head_unsupported,paired effect averaged within identity across seeds,3
4.414686705263137,5.901920533516343,2.9824532757570243,released,0.9,20,masked_psnr,32,1,head_unsupported,paired effect averaged within identity across seeds,3
5.905859736570818,6.964583697393587,4.717402098720627,adaptive,0.95,20,masked_psnr,32,1,torso_outside_head_roi,paired effect averaged within identity across seeds,3
5.922666222685548,7.044637577571294,4.631010339440549,released,0.95,20,masked_psnr,32,1,torso_outside_head_roi,paired effect averaged within identity across seeds,3
1.6239397902204165,2.6025837342758327,0.6606359773652839,adaptive,0.75,20,masked_psnr,32,4,head_foreground,paired effect averaged within identity across seeds,3
1.7847756704722435,2.734529873428259,0.8362524865932421,released,0.75,20,masked_psnr,32,4,head_foreground,paired effect averaged within identity across seeds,3
-1.5869347858794467,-1.1008299278203995,-2.1421876327263867,adaptive,0.0,20,masked_psnr,32,4,head_supported,paired effect averaged within identity across seeds,3
-1.5588331138760734,-1.0922218894076698,-2.0464805590952904,released,0.0,20,masked_psnr,32,4,head_supported,paired effect averaged within identity across seeds,3
4.206647078937341,5.68521729547487,2.7112497344309787,adaptive,0.85,20,masked_psnr,32,4,head_unsupported,paired effect averaged within identity across seeds,3
4.471699047143039,5.837045872858129,3.0817440083203205,released,0.95,20,masked_psnr,32,4,head_unsupported,paired effect averaged within identity across seeds,3
6.008106509507564,6.858727430019137,5.095463574382631,adaptive,1.0,20,masked_psnr,32,4,torso_outside_head_roi,paired effect averaged within identity across seeds,3
5.990364484520312,6.878921175333609,4.987851838592856,released,1.0,20,masked_psnr,32,4,torso_outside_head_roi,paired effect averaged within identity across seeds,3
1.6585904882236835,2.5657368102281013,0.760788875985002,adaptive,0.75,20,masked_psnr,32,8,head_foreground,paired effect averaged within identity across seeds,3
1.7569721845716035,2.6966141992272004,0.8087875047492662,released,0.75,20,masked_psnr,32,8,head_foreground,paired effect averaged within identity across seeds,3
-1.6140102678852344,-1.1692815470824975,-2.121040018951985,adaptive,0.0,20,masked_psnr,32,8,head_supported,paired effect averaged within identity across seeds,3
-1.6103656434283486,-1.1524819486567839,-2.065958350249225,released,0.05,20,masked_psnr,32,8,head_supported,paired effect averaged within identity across seeds,3
4.199614382139686,5.638069619494318,2.802621932719015,adaptive,0.85,20,masked_psnr,32,8,head_unsupported,paired effect averaged within identity across seeds,3
4.349325918570742,5.7140261411006525,2.9844440716697442,released,0.95,20,masked_psnr,32,8,head_unsupported,paired effect averaged within identity across seeds,3
6.077056465581058,7.009334878388567,5.124487405246198,adaptive,1.0,20,masked_psnr,32,8,torso_outside_head_roi,paired effect averaged within identity across seeds,3
