advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,variant
-0.15932907342997388,2.936496876323595,-2.5210534263384625,adaptive,0.45,20,masked_psnr,8,1,background,capacity_s5_h512_20k
-0.7712549196636385,1.7804215221876019,-2.629232133447773,released,0.25,20,masked_psnr,8,1,background,capacity_s5_h512_20k
-0.5850639201525476,-0.0629719425827003,-1.1876767855552917,adaptive,0.4,20,masked_psnr,8,1,eyes,capacity_s5_h512_20k
-0.7116245885707962,-0.1876804709649631,-1.317785584169887,released,0.25,20,masked_psnr,8,1,eyes,capacity_s5_h512_20k
-1.4851113643302976,-0.7513248237593037,-2.2474491182320993,adaptive,0.2,20,masked_psnr,8,1,flame_supported,capacity_s5_h512_20k
-1.5727662064428303,-0.9538974348968833,-2.258658985198133,released,0.15,20,masked_psnr,8,1,flame_supported,capacity_s5_h512_20k
3.396687724715514,4.518000217537539,2.238826579032398,adaptive,0.95,20,masked_psnr,8,1,flame_unsupported,capacity_s5_h512_20k
2.683229049961171,3.6686868145317106,1.5839634093998503,released,0.9,20,masked_psnr,8,1,flame_unsupported,capacity_s5_h512_20k
2.3135797255342556,3.2905621779150946,1.2590277088952888,adaptive,0.9,20,masked_psnr,8,1,foreground,capacity_s5_h512_20k
1.7815499667002768,2.648847890816741,0.7936536417171415,released,0.9,20,masked_psnr,8,1,foreground,capacity_s5_h512_20k
1.3649856205194912,2.4299588484043926,0.1663244534016808,adaptive,0.8,20,masked_psnr,8,1,full_frame,capacity_s5_h512_20k
0.959843606569839,1.8532607161538444,-0.09137560344448284,released,0.8,20,masked_psnr,8,1,full_frame,capacity_s5_h512_20k
-0.12095751998408799,0.46552846709512347,-0.7638789979735526,adaptive,0.55,20,masked_psnr,8,1,head_foreground,capacity_s5_h512_20k
-0.20792907223177837,0.346717553789766,-0.829534392048263,released,0.6,20,masked_psnr,8,1,head_foreground,capacity_s5_h512_20k
-2.215501290575908,-1.616330059492323,-2.9110033576253556,adaptive,0.05,20,masked_psnr,8,1,head_supported,capacity_s5_h512_20k
-2.1968263356080944,-1.6958777851178188,-2.7641759351404493,released,0.0,20,masked_psnr,8,1,head_supported,capacity_s5_h512_20k
1.7856075760388723,2.9705837155071135,0.8105764552368782,adaptive,0.8,20,masked_psnr,8,1,head_unsupported,capacity_s5_h512_20k
1.398107230098205,2.1384672507592435,0.7146196834277317,released,0.85,20,masked_psnr,8,1,head_unsupported,capacity_s5_h512_20k
-0.8714569592171371,-0.5815089134127038,-1.1838403957846564,adaptive,0.05,20,masked_psnr,8,1,oral,capacity_s5_h512_20k
