ci_high,ci_low,control_minus_reference_mean,control_variant,geometry_metric,identity_count,method,n_id,n_obs,reference_variant
0.0,0.0,0.0,head_target_density1,all_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,all_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,all_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-10.810868320067723,-15.267496705452597,-12.985499366124468,head_target_density1,all_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-9.912282369534175,-13.35383259534836,-11.664152828852336,head_target_density1,all_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-10.000306593577067,-13.537103765010833,-11.77776346206665,head_target_density1,all_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-6.711357063849768,-10.660873691240948,-8.718246936798096,head_target_density1,all_offset_mean_mm,20,released,8,1,primary_full_target_density1
-6.436565316120784,-9.878963387012483,-8.141097656885783,head_target_density1,all_offset_mean_mm,20,released,8,4,primary_full_target_density1
-6.680086721579234,-9.73058796564738,-8.196325588226319,head_target_density1,all_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,all_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,all_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,all_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-10.221584918896356,-14.62699849128723,-12.566538174947105,head_target_density1,all_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-9.911222696701685,-14.865980058113735,-12.525532881418865,head_target_density1,all_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-9.814656544526416,-14.492834995190302,-12.287130943934125,head_target_density1,all_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-14.704087725480399,-20.652274314562476,-17.872761042912806,head_target_density1,all_offset_mean_mm,20,released,384,1,primary_full_target_density1
-14.661311216354374,-21.159330317179364,-18.109977372487386,head_target_density1,all_offset_mean_mm,20,released,384,4,primary_full_target_density1
-14.709541736046475,-20.850989163319266,-17.951130024592082,head_target_density1,all_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,all_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,all_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,all_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-4.195742270151775,-7.851451699733735,-5.951023483276368,full_target_density2,all_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-4.105299033323926,-7.003318518002829,-5.577515093485515,full_target_density2,all_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-4.216103025277457,-7.169328685601552,-5.656221199035644,full_target_density2,all_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-2.4017331926027943,-4.665468780199687,-3.556280549367269,full_target_density2,all_offset_mean_mm,20,released,8,1,primary_full_target_density1
-2.2315002723534905,-4.034404047330221,-3.1004402796427413,full_target_density2,all_offset_mean_mm,20,released,8,4,primary_full_target_density1
-2.3250903236865996,-3.9247119931379952,-3.0759775638580322,full_target_density2,all_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,all_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,all_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,all_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-4.595485984484355,-8.247907037734986,-6.531520080566406,full_target_density2,all_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
