camera_count,lpips_alex_spatial,masked_mae,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,source,ssim,subject,variant
14,0.2904504862698642,0.10632886824669774,13.28845695731403,adaptive,128,1,11264.0,full_frame,0,ordinary,0.49419637450150083,017,primary_full_target_density1
14,0.3670444285755283,0.10386505287600227,15.761112653123519,adaptive,128,1,6250.357142857143,foreground,0,ordinary,,017,primary_full_target_density1
14,0.3490247077467511,0.0945201278973788,17.003857726654932,adaptive,128,1,4596.5,flame_supported,0,ordinary,,017,primary_full_target_density1
14,0.4131833689538569,0.1280627296067786,13.67403470622103,adaptive,128,1,1653.857142857143,flame_unsupported,0,ordinary,,017,primary_full_target_density1
14,0.3022070894475487,0.08342273360125661,19.19374835075634,adaptive,128,1,257.92857142857144,oral,0,ordinary,,017,primary_full_target_density1
14,0.17057218106194322,0.07371965388137869,20.584620650807572,adaptive,128,1,87.21428571428571,eyes,0,ordinary,,017,primary_full_target_density1
14,0.1947888515986082,0.10789718344063857,11.510701596374814,adaptive,128,1,5013.642857142857,background,0,ordinary,,017,primary_full_target_density1
11,0.2821108900811061,0.10133108554136,13.432830261281623,adaptive,128,4,11264.0,full_frame,0,ordinary,0.4973122369159352,017,primary_full_target_density1
11,0.3511038288362135,0.10128771790239566,15.505938532083876,adaptive,128,4,6345.818181818182,foreground,0,ordinary,,017,primary_full_target_density1
11,0.33372082095431366,0.08687219239508129,17.43114636744159,adaptive,128,4,4656.272727272727,flame_supported,0,ordinary,,017,primary_full_target_density1
11,0.39343814542913136,0.14139250230773473,12.653297120504796,adaptive,128,4,1689.5454545454545,flame_unsupported,0,ordinary,,017,primary_full_target_density1
11,0.265960440477245,0.08648099398316234,18.715401049938013,adaptive,128,4,254.45454545454547,oral,0,ordinary,,017,primary_full_target_density1
11,0.1684857244746911,0.07124311933460405,20.798825816118235,adaptive,128,4,86.45454545454545,eyes,0,ordinary,,017,primary_full_target_density1
11,0.19149431187225507,0.10056182219949115,11.78175624613142,adaptive,128,4,4918.181818181818,background,0,ordinary,,017,primary_full_target_density1
7,0.2635784087243018,0.10036810032733076,13.336565090339548,adaptive,128,8,11264.0,full_frame,0,ordinary,0.5057702745710101,017,primary_full_target_density1
7,0.33458548842429814,0.09868499280365452,15.682420221913974,adaptive,128,8,6273.714285714285,foreground,0,ordinary,,017,primary_full_target_density1
7,0.31508681092804086,0.08513168632079574,17.50176948276704,adaptive,128,8,4579.428571428572,flame_supported,0,ordinary,,017,primary_full_target_density1
7,0.3808742819693941,0.13583249267432232,12.948442084288791,adaptive,128,8,1694.2857142857142,flame_unsupported,0,ordinary,,017,primary_full_target_density1
7,0.2613331901162298,0.08643175609156238,18.68735440099061,adaptive,128,8,249.85714285714286,oral,0,ordinary,,017,primary_full_target_density1
7,0.16074388521115196,0.07492719820002858,20.28446885703291,adaptive,128,8,84.71428571428571,eyes,0,ordinary,,017,primary_full_target_density1
7,0.17367352735163502,0.10171953522604889,11.58363311908953,adaptive,128,8,4990.285714285715,background,0,ordinary,,017,primary_full_target_density1
14,0.2324676544635327,0.07325949606957373,16.382699664141864,adaptive,128,1,11264.0,full_frame,0,ordinary,0.6276638720716748,060,primary_full_target_density1
14,0.2611438717450993,0.11156959679429798,15.117892601561143,adaptive,128,1,5045.285714285715,foreground,0,ordinary,,060,primary_full_target_density1
14,0.24130419036907044,0.0768409595720299,18.85462610251809,adaptive,128,1,4009.0,flame_supported,0,ordinary,,060,primary_full_target_density1
14,0.3217060798495815,0.28177717940356856,9.410376439812582,adaptive,128,1,1036.2857142857142,flame_unsupported,0,ordinary,,060,primary_full_target_density1
14,0.19192344278197013,0.07898459297873243,19.064603373931764,adaptive,128,1,129.85714285714286,oral,0,ordinary,,060,primary_full_target_density1
14,0.18622153487760737,0.05866686704090289,22.542984278943205,adaptive,128,1,85.78571428571429,eyes,0,ordinary,,060,primary_full_target_density1
14,0.20228349641232943,0.038101972561371024,18.48768084357109,adaptive,128,1,6218.714285714285,background,0,ordinary,,060,primary_full_target_density1
11,0.2311167342603699,0.0732734006298475,16.418413372613124,adaptive,128,4,11264.0,full_frame,0,ordinary,0.619874195619063,060,primary_full_target_density1
11,0.25962431680872805,0.10796742347569264,15.43104100996081,adaptive,128,4,5223.090909090909,foreground,0,ordinary,,060,primary_full_target_density1
11,0.23269864151349412,0.07429852140048665,18.989240780783405,adaptive,128,4,4103.545454545455,flame_supported,0,ordinary,,060,primary_full_target_density1
11,0.33954888882978707,0.2616061174205754,10.01098842430837,adaptive,128,4,1119.5454545454545,flame_unsupported,0,ordinary,,060,primary_full_target_density1
11,0.17287087166022036,0.08087767439942373,18.80603476071904,adaptive,128,4,128.9090909090909,oral,0,ordinary,,060,primary_full_target_density1
11,0.17772038530204518,0.060684089541515586,22.180683582699146,adaptive,128,4,86.36363636363636,eyes,0,ordinary,,060,primary_full_target_density1
11,0.19900756549992737,0.04007355077823241,17.914087445288498,adaptive,128,4,6040.909090909091,background,0,ordinary,,060,primary_full_target_density1
7,0.2204820335685433,0.07213970180197712,16.537488723880724,adaptive,128,8,11264.0,full_frame,0,ordinary,0.6249205555234637,060,primary_full_target_density1
7,0.24938407361868783,0.10502368167610757,15.634759607006147,adaptive,128,8,5106.285714285715,foreground,0,ordinary,,060,primary_full_target_density1
7,0.21897870083834,0.0729547743837866,19.114760206274077,adaptive,128,8,3994.714285714286,flame_supported,0,ordinary,,060,primary_full_target_density1
7,0.34178808509338393,0.25295548098979564,10.273903366035952,adaptive,128,8,1111.5714285714287,flame_unsupported,0,ordinary,,060,primary_full_target_density1
7,0.16970771407963886,0.08247055578911798,18.700627617135805,adaptive,128,8,128.42857142857142,oral,0,ordinary,,060,primary_full_target_density1
7,0.16865750595144052,0.061491698376586565,21.99772279208216,adaptive,128,8,86.14285714285714,eyes,0,ordinary,,060,primary_full_target_density1
7,0.18961403554494713,0.041996979640086994,17.826145709030964,adaptive,128,8,6157.714285714285,background,0,ordinary,,060,primary_full_target_density1
14,0.2931071643705492,0.12707027057548623,12.319932543955515,adaptive,128,1,11264.0,full_frame,0,ordinary,0.5260220319032669,071,primary_full_target_density1
14,0.3724305790808754,0.1585844270953888,12.272268886942854,adaptive,128,1,6050.357142857143,foreground,0,ordinary,,071,primary_full_target_density1
14,0.350681178982666,0.11171082704890589,15.153191568180116,adaptive,128,1,4315.0,flame_supported,0,ordinary,,071,primary_full_target_density1
14,0.4216484747873877,0.28033930567034016,8.8190835453981,adaptive,128,1,1735.357142857143,flame_unsupported,0,ordinary,,071,primary_full_target_density1
14,0.3064426194382443,0.09943048279267074,17.6523678318045,adaptive,128,1,257.07142857142856,oral,0,ordinary,,071,primary_full_target_density1
14,0.2190525580974743,0.07820511296693541,19.849273938080664,adaptive,128,1,78.64285714285714,eyes,0,ordinary,,071,primary_full_target_density1
14,0.19447503301498575,0.08340372127153035,13.31642477874057,adaptive,128,1,5213.642857142857,background,0,ordinary,,071,primary_full_target_density1
11,0.28746712109274114,0.13063856983972977,11.838524854967897,adaptive,128,4,11264.0,full_frame,0,ordinary,0.5198361358859322,071,primary_full_target_density1
11,0.3674694857591038,0.16323031962050386,11.825313906387883,adaptive,128,4,6193.454545454545,foreground,0,ordinary,,071,primary_full_target_density1
11,0.34196413997174036,0.1163514211976267,14.653471476252026,adaptive,128,4,4409.545454545455,flame_supported,0,ordinary,,071,primary_full_target_density1
11,0.42174805318560615,0.2853550040005368,8.436925579126166,adaptive,128,4,1783.909090909091,flame_unsupported,0,ordinary,,071,primary_full_target_density1
11,0.27145401577192635,0.08873672364449035,18.57949267048657,adaptive,128,4,253.63636363636363,oral,0,ordinary,,071,primary_full_target_density1
11,0.20413110046945687,0.0751580959738999,20.30626994768292,adaptive,128,4,79.72727272727273,eyes,0,ordinary,,071,primary_full_target_density1
11,0.18311791001331593,0.08508035795828221,12.629489643797735,adaptive,128,4,5070.545454545455,background,0,ordinary,,071,primary_full_target_density1
7,0.28473468260331586,0.1321011343043604,11.748359981893282,adaptive,128,8,11264.0,full_frame,0,ordinary,0.5218892352921622,071,primary_full_target_density1
7,0.3661058084332832,0.16533099235378027,11.7342437911619,adaptive,128,8,6169.857142857143,foreground,0,ordinary,,071,primary_full_target_density1
7,0.33831618778524497,0.11911449970382856,14.427364364592673,adaptive,128,8,4356.571428571428,flame_supported,0,ordinary,,071,primary_full_target_density1
7,0.4253761544418036,0.28288088932422756,8.523150816747972,adaptive,128,8,1813.2857142857142,flame_unsupported,0,ordinary,,071,primary_full_target_density1
7,0.2858889739563863,0.08840872438764034,18.75600104250424,adaptive,128,8,252.57142857142858,oral,0,ordinary,,071,primary_full_target_density1
7,0.19572735275306077,0.07673138487073176,20.30623481734329,adaptive,128,8,79.42857142857143,eyes,0,ordinary,,071,primary_full_target_density1
7,0.1813496468173206,0.08597214929524577,12.540297821068394,adaptive,128,8,5094.142857142857,background,0,ordinary,,071,primary_full_target_density1
14,0.306441280748937,0.1041691679975171,14.638216997821797,adaptive,128,1,11264.0,full_frame,0,ordinary,0.4680421139512743,102,primary_full_target_density1
14,0.40435252324321186,0.13035589084002155,14.977540410558934,adaptive,128,1,6362.857142857143,foreground,0,ordinary,,102,primary_full_target_density1
14,0.32418572779996585,0.10978113840740886,16.46949801538272,adaptive,128,1,4284.071428571428,flame_supported,0,ordinary,,102,primary_full_target_density1
14,0.5613908130303485,0.17188081529392582,13.093966838169848,adaptive,128,1,2078.785714285714,flame_unsupported,0,ordinary,,102,primary_full_target_density1
14,0.23431159899597837,0.10272666822352962,17.47045333769647,adaptive,128,1,257.5,oral,0,ordinary,,102,primary_full_target_density1
14,0.18396543374085664,0.069671275644135,21.136161128041373,adaptive,128,1,76.21428571428571,eyes,0,ordinary,,102,primary_full_target_density1
14,0.1790693556634686,0.07080832368030045,14.275939409649656,adaptive,128,1,4901.142857142857,background,0,ordinary,,102,primary_full_target_density1
11,0.3107851891478231,0.10879407835400792,14.282359760908673,adaptive,128,4,11264.0,full_frame,0,ordinary,0.45816639878533105,102,primary_full_target_density1
11,0.40320923746276277,0.13260725432451667,14.737465436082203,adaptive,128,4,6430.818181818182,foreground,0,ordinary,,102,primary_full_target_density1
11,0.3211180270370559,0.11026887505451145,16.349482739452398,adaptive,128,4,4334.909090909091,flame_supported,0,ordinary,,102,primary_full_target_density1
11,0.5640577891825127,0.1768740196302316,12.772518749691313,adaptive,128,4,2095.909090909091,flame_unsupported,0,ordinary,,102,primary_full_target_density1
11,0.22840613153241165,0.11074924374994347,16.95144795897465,adaptive,128,4,259.3636363636364,oral,0,ordinary,,102,primary_full_target_density1
11,0.1857528087158829,0.08025314866590906,20.196082601345424,adaptive,128,4,76.45454545454545,eyes,0,ordinary,,102,primary_full_target_density1
11,0.1860051535587632,0.07773509255575496,13.777831512877157,adaptive,128,4,4833.181818181818,background,0,ordinary,,102,primary_full_target_density1
7,0.3005202683535489,0.11019461495535714,14.005882073229072,adaptive,128,8,11264.0,full_frame,0,ordinary,0.4575748486178262,102,primary_full_target_density1
7,0.39482700839317614,0.1338929991225745,14.618313696244204,adaptive,128,8,6382.857142857143,foreground,0,ordinary,,102,primary_full_target_density1
7,0.3103154922768172,0.11041664933275554,16.24721055758753,adaptive,128,8,4254.428571428572,flame_supported,0,ordinary,,102,primary_full_target_density1
7,0.5541036386287024,0.17951994988771874,12.680150088081174,adaptive,128,8,2128.4285714285716,flame_unsupported,0,ordinary,,102,primary_full_target_density1
7,0.22481046048459621,0.11236469974943543,16.856826895856823,adaptive,128,8,259.0,oral,0,ordinary,,102,primary_full_target_density1
7,0.177996689963086,0.07796002018795838,20.495738944390478,adaptive,128,8,75.57142857142857,eyes,0,ordinary,,102,primary_full_target_density1
7,0.17556880409883507,0.07983498332553363,13.342794454128699,adaptive,128,8,4881.142857142857,background,0,ordinary,,102,primary_full_target_density1
14,0.24448851486305137,0.09012528208943156,15.987775510737293,adaptive,128,1,11264.0,full_frame,0,ordinary,0.5339949152299336,112,primary_full_target_density1
14,0.2896466625699315,0.12499221503768077,15.233374541687967,adaptive,128,1,6239.0,foreground,0,ordinary,,112,primary_full_target_density1
14,0.2483797417629765,0.10297108027069171,16.8117721759779,adaptive,128,1,4606.5,flame_supported,0,ordinary,,112,primary_full_target_density1
14,0.39456258090855834,0.1901570227391352,12.464254648099073,adaptive,128,1,1632.5,flame_unsupported,0,ordinary,,112,primary_full_target_density1
14,0.1733942726524733,0.09565564279935877,17.956346536524475,adaptive,128,1,318.42857142857144,oral,0,ordinary,,112,primary_full_target_density1
14,0.16454127482805178,0.06453820511230415,21.465462124635565,adaptive,128,1,83.78571428571429,eyes,0,ordinary,,112,primary_full_target_density1
14,0.17680868764077082,0.04429367843565385,17.552234595077994,adaptive,128,1,5025.0,background,0,ordinary,,112,primary_full_target_density1
11,0.2243063745419841,0.08617396853843667,16.264101075855848,adaptive,128,4,11264.0,full_frame,0,ordinary,0.5433175536719236,112,primary_full_target_density1
