subject,sequence,stress_region,density_multiplier,gaussian_count,condition,mean_constraint,scale_cap_mm,supported_psnr,unsupported_psnr,head_psnr,supported_center_error_mm,unsupported_center_error_mm,axis_max_p90_mm,axis_fraction_at_cap,total_trainable_parameters,final_loss
388,GLASSES,glasses_hair_beard,0.25,1256,hard_cap003,hard,3.0,17.54857933811334,4.4713913349912255,10.29360331411414,5.1505206855608465,27.484878948964663,3.0,1.0,12560,0.24920351803302765
388,GLASSES,glasses_hair_beard,0.25,1256,hard_cap030,hard,30.0,27.457634501110558,16.115671722078112,21.925242514458773,5.1505206855608465,27.484878948964663,17.624235153198242,0.026273885350318472,12560,0.04459284245967865
388,GLASSES,glasses_hair_beard,0.25,1256,free_cap003,free,3.0,22.88804735636255,12.291146993429884,18.029940263021018,10.480843675133588,9.374055313219015,3.0,1.0,12560,0.10101871192455292
388,GLASSES,glasses_hair_beard,0.25,1256,free_cap030,free,30.0,33.126369435416976,28.781150336232365,31.78731449783271,7.095916652277881,11.402700909176229,15.120439529418945,0.0015923566878980893,12560,0.016671206802129745
388,GLASSES,glasses_hair_beard,1.0,5023,hard_cap003,hard,3.0,18.959141352187718,4.475250071304611,10.470055606046428,4.319443620943903,27.457490051433012,3.0,0.973720883933904,50230,0.22624942660331726
388,GLASSES,glasses_hair_beard,1.0,5023,hard_cap030,hard,30.0,28.610590662137465,16.124476919719676,22.125271445673988,4.319443620943903,27.457490051433012,13.16789722442627,0.014732231734023491,50230,0.04071306064724922
388,GLASSES,glasses_hair_beard,1.0,5023,free_cap003,free,3.0,32.75318631362921,19.613956325889834,25.72467786848837,4.549950113899102,7.388610219127022,3.0,0.9864622735417081,50230,0.025275232270359993
388,GLASSES,glasses_hair_beard,1.0,5023,free_cap030,free,30.0,37.271891803749256,30.904281029677943,34.75275092760246,4.550938644137838,10.381520790707505,11.470741653442385,0.0057734421660362335,50230,0.0109140295535326
388,GLASSES,glasses_hair_beard,4.0,20092,hard_cap003,hard,3.0,26.100044277656497,5.927354638613421,12.589437985876437,3.3228884790877067,26.8571209266412,3.0,0.9682958391399562,200920,0.11362773925065994
388,GLASSES,glasses_hair_beard,4.0,20092,hard_cap030,hard,30.0,30.354578597740552,18.62398184387653,24.49379009736435,3.3228884790877067,26.8571209266412,10.963848114013672,0.009008560621142744,200920,0.026949387043714523
388,GLASSES,glasses_hair_beard,4.0,20092,free_cap003,free,3.0,39.1113859151163,33.523281482557415,37.19183152644155,3.316465582862909,5.509514412421636,3.0,0.9516225363328688,200920,0.007526388857513666
388,GLASSES,glasses_hair_beard,4.0,20092,free_cap030,free,30.0,41.26129517850105,37.72561267488193,40.23510637886868,3.3447058574196338,5.811791467015738,6.903948831558229,4.977105315548477e-05,200920,0.005368170328438282
422,EXP-2-eyes,eyes,0.25,1256,hard_cap003,hard,3.0,17.182963009799963,4.055537437112964,8.560511555607812,4.932325341486356,41.16975805457542,3.0,1.0,12560,0.34427663683891296
422,EXP-2-eyes,eyes,0.25,1256,hard_cap030,hard,30.0,26.235059833820856,14.112613675882828,18.506818400733625,4.932325341486356,41.16975805457542,15.742305755615234,0.03264331210191083,12560,0.0845150500535965
422,EXP-2-eyes,eyes,0.25,1256,free_cap003,free,3.0,20.899563558399475,12.644959025954547,16.215110024234743,8.537039260530731,13.223439675333273,3.0,1.0,12560,0.14597396552562714
422,EXP-2-eyes,eyes,0.25,1256,free_cap030,free,30.0,33.807138497237766,25.460445946312163,29.076084647012408,7.0520211480402955,9.896226895801084,15.277677536010742,0.005573248407643312,12560,0.023512953892350197
