subject,sequence,fold,condition,heldout_camera_count,supported_train_psnr,unsupported_train_psnr,head_train_psnr,supported_heldout_psnr,unsupported_heldout_psnr,head_heldout_psnr
388,GLASSES,fold_a,hard,5,29.790058437460228,16.06830178258042,22.42540420740203,23.704806606264338,14.220628914483044,19.5434493011934
388,GLASSES,fold_a,r075,5,39.386317488389004,28.792584206134045,34.271517395336794,27.254710103079628,22.948968213075243,25.698660484868935
388,GLASSES,fold_a,free,5,39.631085415009565,31.039617234889786,35.73958756479314,27.12091754592147,23.88233331759786,25.974273691606662
388,GLASSES,fold_b,hard,4,29.55897006558228,16.461564843572948,22.63536338373017,25.1680940343172,13.940361881611288,19.746453220135166
388,GLASSES,fold_b,r075,4,38.13589494521158,29.667784698602745,34.210099710423954,28.773133696953742,24.371455267714712,27.07207885704051
388,GLASSES,fold_b,free,4,38.659785183354074,30.81970458300306,35.217316060451694,28.505560799622895,24.624735898570776,26.939214285887132
388,GLASSES,fold_c,hard,4,29.131471860795575,15.394705251551326,21.55114244496239,25.226096523846266,15.935547633093428,21.486798008339523
388,GLASSES,fold_c,r075,4,38.010334110874574,29.03358853992058,33.77185652081341,28.92845883366253,24.787010102697934,27.83053150921413
388,GLASSES,fold_c,free,4,38.5640376942692,30.36863301076264,34.90635862679384,28.760946167102972,25.406635029662105,27.902278678000894
422,EXP-2-eyes,fold_a,hard,5,27.240001736301238,14.137934619375937,18.490451899064965,23.38842657309609,13.704637977049382,17.666307905531045
422,EXP-2-eyes,fold_a,r075,5,37.083055167300046,23.982571425142,28.478656765776304,29.731081618788586,22.45989705228942,25.71146841260083
422,EXP-2-eyes,fold_a,free,5,37.35436869471036,27.01211437038929,30.965030697122625,29.53094847389042,23.687938112959152,26.440517196116296
422,EXP-2-eyes,fold_b,hard,4,26.977406504551684,14.534980492930973,19.053261346667973,23.795230328875633,13.095492137554745,17.06781439740633
422,EXP-2-eyes,fold_b,r075,4,36.91961419385689,23.993765395510362,28.61222158793531,29.848423656625464,23.29839205664937,26.12863684570228
422,EXP-2-eyes,fold_b,free,4,37.40230381880733,26.838676457424665,30.89954908140832,30.328869670565183,24.2185861718408,26.645196414663175
422,EXP-2-eyes,fold_c,hard,4,27.263754673857115,13.790411569203348,18.378175539444545,24.111961116538115,14.870447638933777,18.558524938400414
422,EXP-2-eyes,fold_c,r075,4,36.38404891870699,24.27644233621522,28.674012452400323,31.402577457849446,23.115666391142856,26.704692389453406
422,EXP-2-eyes,fold_c,free,4,37.12275866227978,27.49245835959259,31.32159083118589,31.46557766155413,24.564175714200665,27.5633705401456
443,FREE,fold_a,hard,5,22.991322681120835,13.448977883291308,16.0585392253215,19.70860490600533,14.01371937820358,16.09870747670666
443,FREE,fold_a,r075,5,41.05972292415977,30.0360919091927,33.19440103263463,31.230792449217866,25.274159991593688,27.345837355063416
443,FREE,fold_a,free,5,41.445265378409815,32.5300817168454,35.3569972860749,31.149564972548216,24.675714299512943,26.94178841551036
443,FREE,fold_b,hard,4,22.980423051981887,14.527829847023323,17.19493287136907,19.765320514076095,11.917557577713286,14.239361622372302
443,FREE,fold_b,r075,4,40.47713923124107,30.279516758474106,33.36601909763347,30.92047948343349,25.395443150331708,27.36130751894127
443,FREE,fold_b,free,4,41.47020903842031,32.85878651455967,35.557979715287395,30.702905106933926,25.717188469799552,27.53769136176212
443,FREE,fold_c,hard,4,23.161905748825856,13.534501964981958,16.229718691897354,18.13705772862299,14.46523392637108,15.721723992604185
443,FREE,fold_c,r075,4,40.63669107558411,30.129391521282457,33.23738135642069,31.717402688547104,26.051235736881377,27.89870582137395
443,FREE,fold_c,free,4,41.07783172223757,33.11806068361404,35.706702140162925,31.863576683693957,25.48358310035798,27.558795431269456
445,EXP-6-tongue-1,fold_a,hard,5,26.33854710107734,11.129497658287946,14.801984582554173,22.202413140104934,11.164940735047411,14.533384891901179
445,EXP-6-tongue-1,fold_a,r075,5,39.39408347209892,32.72317361609613,35.08669760579632,30.56890295563614,26.83992688711308,28.357007312435748
445,EXP-6-tongue-1,fold_a,free,5,40.37667638481159,35.622913111708456,37.29233058944473,30.44504295963851,26.438430117158227,28.175292673217626
445,EXP-6-tongue-1,fold_b,hard,4,25.700839232194465,12.117593987615122,15.789571639994941,23.152516600674268,10.335602349696138,13.800247751603836
445,EXP-6-tongue-1,fold_b,r075,4,39.73721589228305,32.329231664962286,34.996415220552954,30.551790239942378,28.233632974240326,29.350681861742586
445,EXP-6-tongue-1,fold_b,free,4,40.945812527129725,35.11900050224416,37.260160551338736,30.81114668104357,28.777252199236052,29.61379640527521
445,EXP-6-tongue-1,fold_c,hard,4,26.744913167902524,11.373772372720152,15.182980197275059,22.633963558756573,11.609154702769999,14.791954115409292
445,EXP-6-tongue-1,fold_c,r075,4,39.46540098520658,32.75971777312538,35.38883965878439,32.30413276343462,26.584971172468062,28.83033329474457
445,EXP-6-tongue-1,fold_c,free,4,39.78641804790137,35.58743748562861,37.26247913124115,31.646917997065298,27.535137921445372,29.05476632103495
475,HAIR,fold_a,hard,5,28.82036536024085,16.646178116014198,19.760939933571024,22.50930930948337,15.732246451564393,18.22266457693976
475,HAIR,fold_a,r075,5,41.17172931106822,31.397354472175053,34.306816683822206,28.152127387187512,26.079967935605406,26.814416392125928
475,HAIR,fold_a,free,5,41.98375205835938,34.393130291931726,36.66354161612758,27.86469135065043,25.706290532959894,26.607444857756633
475,HAIR,fold_b,hard,4,27.969644973813402,17.00897824289195,20.079548361213867,24.069952462829466,15.488402085700162,18.209424074036534
475,HAIR,fold_b,r075,4,40.60991742348647,31.143094831728362,33.84076741654727,28.478916451791054,26.528777061636877,26.994937068249772
475,HAIR,fold_b,free,4,41.279183713891435,34.269194078887196,36.37679851173106,27.952161982992568,27.22878626887585,27.219399100935643
475,HAIR,fold_c,hard,4,28.56682102810775,16.104164964213492,19.42801874197835,24.37863887175866,16.834756417719454,19.425040874359308
475,HAIR,fold_c,r075,4,41.27056080650344,31.201999259133768,34.084770270547814,28.612031879519296,24.303842493713752,25.79236212780206
475,HAIR,fold_c,free,4,41.86454982044667,34.364664208747406,36.5476700803866,28.427800334421523,25.478518999010493,26.223496294121297
