subject,sequence,stress_region,condition,supported_heldout_psnr,supported_train_psnr,supported_generalization_gap_db,unsupported_heldout_psnr,unsupported_train_psnr,unsupported_generalization_gap_db,head_heldout_psnr,head_train_psnr,head_generalization_gap_db
388,GLASSES,glasses_hair_beard,hard,24.62313809722889,29.482094032195484,4.858955934966595,14.662060202402623,15.971263273721608,1.3092030713189846,20.20386549383583,22.195453312209587,1.9915878183737554
388,GLASSES,glasses_hair_beard,r075,28.236916972143323,38.47717697738029,10.240260005236966,23.952207888232827,29.178962799837784,5.2267549116049565,26.777211068412555,34.07729789399348,7.300086825580927
388,GLASSES,glasses_hair_beard,free,28.05158581511622,38.92550343148792,10.873917616371699,24.579780792378525,30.731229854731136,6.1514490623526115,26.86441079335273,35.27037587321365,8.405965079860923
422,EXP-2-eyes,eyes,hard,23.736222972856577,27.15732555754189,3.421102584685311,13.87591915316931,14.15507713516217,0.27915798199286,17.756684374683246,18.646405660289705,0.8897212856064591
422,EXP-2-eyes,eyes,r075,30.28149327321866,36.78451574428751,6.503022471068849,22.919670696355084,24.08817080717947,1.168500110824386,26.145435307971297,28.592513864970428,2.4470785569991307
422,EXP-2-eyes,eyes,free,30.371733207533023,37.29078891874873,6.919055711215709,24.120826008381663,27.118351089087295,2.997525080705632,26.848988753832046,31.065788645781883,4.216799891949837
443,FREE,free_motion_static_frame,hard,19.242502884678693,23.046597717547552,3.8040948328688593,13.507674069796566,13.85203112978377,0.34435705998720323,15.410606141803022,16.51116068738345,1.1005545455804295
443,FREE,free_motion_static_frame,r075,31.28503776415475,40.711625236719414,9.426587472564663,25.550578115909293,30.152650376590408,4.6020722606811155,27.520710779736767,33.268685090290944,5.747974310554177
443,FREE,free_motion_static_frame,free,31.231827078865585,41.32671114896921,10.094884070103625,25.244742906014988,32.84739532762794,7.602652421612955,27.314991480744464,35.54761980721739,8.232628326472923
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,hard,22.627537410634467,26.258467246518908,3.630929835884441,11.046440914238586,11.556087634973888,0.5096467207353026,14.387363994427567,15.27572473830244,0.8883607438748733
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,r075,31.097554368591435,39.537546910546084,8.439992541954648,27.19031161710761,32.599458995059926,5.409147377952316,28.80839209139441,35.16003364463102,6.351641553236611
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,free,30.927497962356004,40.369364855914334,9.44186689355833,27.495516236039755,35.436201799404714,7.9406855633649585,28.8885164824099,37.27086160995296,8.382345127543058
475,HAIR,hair,hard,23.564685529674566,28.438119880739123,4.873434351064557,15.996451251653879,16.58414283815625,0.5876915865023715,18.588552513714014,19.755985515280695,1.1674330015666818
475,HAIR,hair,r075,28.39418694316761,41.011466867632876,12.617279924465265,25.671562915340736,31.241718561352293,5.570155646011557,26.555482980372076,34.06862971747821,7.513146737106133
475,HAIR,hair,free,28.064869694069884,41.698600702919926,13.633731008850042,26.10466721048806,34.34037565092943,8.235708440441371,26.67760045146238,36.52417500992614,9.846574558463761
