family,radius_mm,scale_cap_mm,oral_protrusion_psnr,oral_protrusion_mae,oral_train_psnr,oral_heldout_psnr,unsupported_psnr,unsupported_train_psnr,unsupported_heldout_psnr,head_psnr,head_train_psnr,head_heldout_psnr,unsupported_center_error_mm,mean_offset_mm,mouth_axis_max_p90_mm,mouth_fraction_at_cap,all_axis_max_p90_mm,all_fraction_at_cap
free,-1.0,3.0,31.47257034477331,0.023540990683311096,33.35691233209044,25.819544382821917,22.525998842974488,23.891216625244983,18.430345496163007,24.196588928870334,25.6383246555814,19.87138174873714,14.855436830705248,63.37521743774414,3.000000026077032,0.9977272727272727,3.000000026077032,0.9906430420067689
free,-1.0,6.0,32.68201441565374,0.021053833459176795,34.67772526853664,26.694881857005036,32.04974089544866,33.79185578277825,26.82339623345989,32.66894695325881,35.006672662053624,25.655769826874355,16.416700443832344,52.311683654785156,6.000000052154064,0.6795454545454546,6.000000052154064,0.5650009954210631
free,-1.0,12.0,33.6178077285025,0.019847947394312258,35.90253388064223,26.7636292720833,34.628491385878846,36.60886529835522,28.687369648449735,34.753090334784034,37.376185088089706,26.883806074867028,18.122795089256616,52.425174713134766,12.000000104308128,0.24659090909090908,12.000000104308128,0.1833565598248059
free,-1.0,30.0,33.41286804481365,0.02037484054930841,35.56434298724833,26.958443217509632,35.23440477653765,37.416062111238546,28.689432772434955,35.244817131383044,38.00873898426827,26.953051572727375,18.079210701222756,52.05823516845703,13.704791199415922,0.014772727272727272,12.383360601961614,0.0057734421660362335
hard,0.0,3.0,26.84454012119344,0.04029716942630756,27.532492108037527,24.780684160661185,3.258831280041478,3.184549469104761,3.48167671285163,5.799582440375083,5.738943501619016,5.981499256643292,44.96509678218222,0.0,3.000000026077032,0.9852272727272727,3.000000026077032,0.9767071471232331
hard,0.0,6.0,30.369401945810026,0.025362659731840455,31.673221941639138,26.457941958322696,3.958841386112843,3.8633802406300006,4.2452248225613705,6.694610137621885,6.628227248543827,6.893758804856062,44.96509678218222,0.0,6.000000052154064,0.5806818181818182,6.000000052154064,0.565399163846307
hard,0.0,12.0,31.137702854249525,0.023079768810949818,32.69117706653351,26.477280217397553,5.149909116941222,5.027705372779914,5.516520349425148,7.942335544815194,7.8528559458906555,8.210774341588817,44.96509678218222,0.0,12.000000104308128,0.1534090909090909,12.000000104308128,0.17638861238303802
hard,0.0,30.0,31.155829008533168,0.02377512316631786,33.034902494930485,25.51860854934121,11.736450481303796,11.633249833081718,12.046052425970034,14.195281092192749,14.15495640859748,14.316255142978557,44.96509678218222,0.0,13.27500669285655,0.010227272727272727,12.742407433688644,0.01712124228548676
r050,50.0,3.0,31.400525809590178,0.02317189961086145,33.0975289181351,26.309516483955417,6.328505611194784,6.255994086261315,6.54604018599519,9.050491491514379,9.02032937608975,9.140977837788261,24.04560062068569,35.1179084777832,3.000000026077032,0.9931818181818182,3.000000026077032,0.9826796735018913
r050,50.0,6.0,32.83834616544201,0.020901675782337918,34.94605894884065,26.51520781524608,9.646064936392737,9.392608490560583,10.4064342738892,12.44386311106031,12.243927554571473,13.043669780526816,22.817033578198615,33.19948196411133,6.000000052154064,0.5795454545454546,6.000000052154064,0.5337447740394187
r050,50.0,12.0,33.83116481016391,0.01941229811328294,36.09033130253683,27.05366533304516,14.143988899820876,13.866052741569968,14.977797374573601,16.887145861384,16.71310645263845,17.40926408762065,22.41023253322826,32.81503677368164,12.000000104308128,0.12045454545454545,12.000000104308128,0.17937487557236712
r050,50.0,30.0,34.262107546401054,0.018825151411167022,36.55823069425192,27.373738102848485,28.62957533743283,29.20964785674782,26.88935777948786,30.16201742334577,31.476498005970523,26.218575675471513,22.455508878572722,32.49697494506836,10.144745465368034,0.003409090909090909,11.791640333831312,0.010352379056340831
