run_id,stage,split_id,method,g_state,c_state,a_state,p_state,n_id,n_obs,capacity,seed,status
run_9ef49dee8144,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,S,0,planned
run_755f31f3b6bd,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,S,1,planned
run_cbb92e976a24,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,S,2,planned
run_7c2b144ef4b9,main,nested_identities_v0,free,free,free,free,selfcal,32,16,S,0,planned
run_e6676e376402,main,nested_identities_v0,free,free,free,free,selfcal,32,16,S,1,planned
run_df4f4a941f30,main,nested_identities_v0,free,free,free,free,selfcal,32,16,S,2,planned
run_991c004f087b,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,S,0,planned
run_01ebb855a055,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,S,1,planned
run_ecb247545be7,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,S,2,planned
run_0b32e0c980b2,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,M,0,planned
run_52f7bf365489,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,M,1,planned
run_09c555fa8662,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,M,2,planned
run_fe105b9b168f,main,nested_identities_v0,free,free,free,free,selfcal,32,16,M,0,planned
run_f3089822ac3f,main,nested_identities_v0,free,free,free,free,selfcal,32,16,M,1,planned
run_f92c37b05ff1,main,nested_identities_v0,free,free,free,free,selfcal,32,16,M,2,planned
run_f2aced6378f6,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,M,0,planned
run_5ca64fbce0bd,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,M,1,planned
run_fddf651273dc,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,M,2,planned
run_e8beecea3019,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,L,0,planned
run_12127520d9d5,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,L,1,planned
run_589ef8538621,main,nested_identities_v0,hard,hard,hard,hard,hard,32,16,L,2,planned
run_3cc1cc9d5965,main,nested_identities_v0,free,free,free,free,selfcal,32,16,L,0,planned
run_8d0141b213c6,main,nested_identities_v0,free,free,free,free,selfcal,32,16,L,1,planned
run_70f022d448c2,main,nested_identities_v0,free,free,free,free,selfcal,32,16,L,2,planned
run_5e5b74dba48d,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,L,0,planned
run_dab2d50e29ca,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,L,1,planned
run_9fe2d0724600,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,32,16,L,2,planned
run_620d084a8773,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,S,0,planned
run_f59127e0b240,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,S,1,planned
run_b94d50c96531,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,S,2,planned
run_187443099f55,main,nested_identities_v0,free,free,free,free,selfcal,128,16,S,0,planned
run_ee0a3b37963f,main,nested_identities_v0,free,free,free,free,selfcal,128,16,S,1,planned
run_6af402100864,main,nested_identities_v0,free,free,free,free,selfcal,128,16,S,2,planned
run_4d6af75f660e,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,S,0,planned
run_cf8712d294b2,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,S,1,planned
run_06fb40b6a04a,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,S,2,planned
run_ffd978da0058,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,M,0,planned
run_afd964fd0e31,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,M,1,planned
run_40d360f34834,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,M,2,planned
run_0d47f048cb51,main,nested_identities_v0,free,free,free,free,selfcal,128,16,M,0,planned
run_66f2b15e3fdd,main,nested_identities_v0,free,free,free,free,selfcal,128,16,M,1,planned
run_ff5d50adcd09,main,nested_identities_v0,free,free,free,free,selfcal,128,16,M,2,planned
run_7d10f03fbf3e,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,0,planned
run_9d69e4e2bd6f,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,1,planned
run_ba2506142976,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,2,planned
run_c016757505e4,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,L,0,planned
run_1a21dcf7b4ff,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,L,1,planned
run_5f3cd2633a7e,main,nested_identities_v0,hard,hard,hard,hard,hard,128,16,L,2,planned
run_cadc3f92cc5b,main,nested_identities_v0,free,free,free,free,selfcal,128,16,L,0,planned
run_fc6e3c108f11,main,nested_identities_v0,free,free,free,free,selfcal,128,16,L,1,planned
run_7b26e12d7b5a,main,nested_identities_v0,free,free,free,free,selfcal,128,16,L,2,planned
run_3249db0f39f5,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,L,0,planned
run_b441390c1a00,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,L,1,planned
run_9432fd00b6b2,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,L,2,planned
run_34098bb2c405,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,S,0,planned
run_856c93c32d63,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,S,1,planned
run_9ffc5374a46e,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,S,2,planned
run_9ebc407b1baa,main,nested_identities_v0,free,free,free,free,selfcal,512,16,S,0,planned
run_af8877d795f3,main,nested_identities_v0,free,free,free,free,selfcal,512,16,S,1,planned
run_93edfcf86f4a,main,nested_identities_v0,free,free,free,free,selfcal,512,16,S,2,planned
run_dfdce02728b5,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,S,0,planned
run_3e04270cc6c1,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,S,1,planned
run_c74a09e24d12,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,S,2,planned
run_0b558951dd0a,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,M,0,planned
run_840b2b3f2c09,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,M,1,planned
run_a1abb9f369ee,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,M,2,planned
run_132e1d5a6bd7,main,nested_identities_v0,free,free,free,free,selfcal,512,16,M,0,planned
run_faf9570e80ea,main,nested_identities_v0,free,free,free,free,selfcal,512,16,M,1,planned
run_a03ca2822d58,main,nested_identities_v0,free,free,free,free,selfcal,512,16,M,2,planned
run_616bbcb5698d,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,M,0,planned
run_64b58146c860,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,M,1,planned
run_2a36b75fbef0,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,M,2,planned
run_e4d24af387d9,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,L,0,planned
run_b1a76f8e7b2c,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,L,1,planned
run_302456729f4b,main,nested_identities_v0,hard,hard,hard,hard,hard,512,16,L,2,planned
run_6a7544e7ba69,main,nested_identities_v0,free,free,free,free,selfcal,512,16,L,0,planned
run_97c1174f5790,main,nested_identities_v0,free,free,free,free,selfcal,512,16,L,1,planned
run_9628bb5b38e4,main,nested_identities_v0,free,free,free,free,selfcal,512,16,L,2,planned
run_839a4cee7704,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,L,0,planned
run_549281e2d193,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,L,1,planned
run_01904d72076d,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,512,16,L,2,planned
run_34730ecf1823,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,S,0,planned
run_1187b086bba5,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,S,1,planned
run_580b8feac1c1,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,S,2,planned
run_5fe09885fbaa,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,S,0,planned
run_006a51dfa0cf,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,S,1,planned
run_f363f6b9d71e,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,S,2,planned
run_af44e0cd4e45,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,S,0,planned
run_b47fd92a6283,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,S,1,planned
run_32ffe097201e,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,S,2,planned
run_5149b9dd62f9,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,M,0,planned
run_6cdbd95385ca,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,M,1,planned
run_df7573d47cd6,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,M,2,planned
run_b87ceb6993a7,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,M,0,planned
run_18b1824029a6,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,M,1,planned
run_9413a2c9f843,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,M,2,planned
run_c266f8b6634f,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,M,0,planned
run_eabddccb1577,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,M,1,planned
run_86eaae014ee0,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,M,2,planned
run_64c62299dec5,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,L,0,planned
run_da19134c8a33,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,L,1,planned
run_a9fbbeac368d,main,nested_identities_v0,hard,hard,hard,hard,hard,2048,16,L,2,planned
run_b93175553894,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,L,0,planned
run_7d6b01568bad,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,L,1,planned
run_70094fdc6218,main,nested_identities_v0,free,free,free,free,selfcal,2048,16,L,2,planned
run_0fc24daad9aa,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,L,0,planned
run_20376ea4fd28,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,L,1,planned
run_3fb411784a71,main,nested_identities_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,L,2,planned
run_0045c9a36528,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,1,M,0,planned
run_14ea0158b41b,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,1,M,1,planned
run_91b0446cccfa,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,1,M,2,planned
run_b8a5e4f14d8a,observation,nested_observations_v0,free,free,free,free,selfcal,128,1,M,0,planned
run_1f4b3fe5c453,observation,nested_observations_v0,free,free,free,free,selfcal,128,1,M,1,planned
run_172442777b6b,observation,nested_observations_v0,free,free,free,free,selfcal,128,1,M,2,planned
run_b49af7dbd83f,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,1,M,0,planned
run_41117ee521a2,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,1,M,1,planned
run_f6f4e0066e43,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,1,M,2,planned
run_b9eb93955d49,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,4,M,0,planned
run_c69b85f1f8b5,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,4,M,1,planned
run_db1a12830321,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,4,M,2,planned
run_e9aab7c41d02,observation,nested_observations_v0,free,free,free,free,selfcal,128,4,M,0,planned
run_a7a88395727a,observation,nested_observations_v0,free,free,free,free,selfcal,128,4,M,1,planned
run_4fa2cc7f0102,observation,nested_observations_v0,free,free,free,free,selfcal,128,4,M,2,planned
run_b993b324a27d,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,4,M,0,planned
run_0bc4acfa5d49,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,4,M,1,planned
run_2f26dbb2364b,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,4,M,2,planned
run_bbcc8bd4321e,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,16,M,0,planned
run_5d9a3ba211f5,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,16,M,1,planned
run_e139a9fea8d2,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,16,M,2,planned
run_c3672a56161a,observation,nested_observations_v0,free,free,free,free,selfcal,128,16,M,0,planned
run_4f625ea280df,observation,nested_observations_v0,free,free,free,free,selfcal,128,16,M,1,planned
run_647f08cb53e7,observation,nested_observations_v0,free,free,free,free,selfcal,128,16,M,2,planned
run_8a9efdeb0151,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,0,planned
run_9ef5fddf1e78,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,1,planned
run_7c032210bace,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,2,planned
run_ed3615208b6c,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,64,M,0,planned
run_c1b44ae91bd3,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,64,M,1,planned
run_63f0e740c19c,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,64,M,2,planned
run_f62cff3c4ca5,observation,nested_observations_v0,free,free,free,free,selfcal,128,64,M,0,planned
run_b45c87f3e424,observation,nested_observations_v0,free,free,free,free,selfcal,128,64,M,1,planned
run_2305dcc719b3,observation,nested_observations_v0,free,free,free,free,selfcal,128,64,M,2,planned
run_8d24e59c4ab8,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,64,M,0,planned
